User: USER,,,,
Path: C:\Program Files (x86)\BMG\Omega\User\Data\,,,,
Test ID: 158,,,,
Test Name: CDI,,,,
Date: 08/04/2021,,,,
Time: 16:49:04,,,,
Time resolved fluorescence (TRF),,,,
,,,,
,,,,
"Well
Row","Well
Col",Group,Content, Raw Data (TREX/615-10)
A,1,A,Blank B,5
B,1,A,Sample X1,32
C,1,A,Sample X1,31
D,1,A,Sample X1,38
E,1,B,Sample X1,29
F,1,B,Sample X1,30
G,1,B,Sample X1,27
H,1,A,Blank B,6
A,2,A,Blank B,14
B,2,A,Sample X2,16
C,2,A,Sample X2,23
D,2,A,Sample X2,18
E,2,B,Sample X2,21
F,2,B,Sample X2,29
G,2,B,Sample X2,17
H,2,A,Blank B,3
A,3,A,Blank B,8
B,3,A,Sample X3,371
C,3,A,Sample X3,358
D,3,A,Sample X3,472
E,3,B,Sample X3,2397
F,3,B,Sample X3,2707
G,3,B,Sample X3,4215
H,3,A,Blank B,9
A,4,A,Blank B,4
B,4,A,Sample X4,45
C,4,A,Sample X4,43
D,4,A,Sample X4,47
E,4,B,Sample X4,2230
F,4,B,Sample X4,2312
G,4,B,Sample X4,3396
H,4,A,Blank B,3
A,5,A,Blank B,4
B,5,A,Sample X5,38
C,5,A,Sample X5,26
D,5,A,Sample X5,34
E,5,B,Sample X5,1503
F,5,B,Sample X5,1812
G,5,B,Sample X5,2292
H,5,A,Blank B,8
A,6,A,Blank B,7
B,6,A,Sample X6,58
C,6,A,Sample X6,35
D,6,A,Sample X6,31
E,6,B,Sample X6,614
F,6,B,Sample X6,471
G,6,B,Sample X6,1061
H,6,A,Blank B,4
A,7,A,Blank B,2
B,7,A,Sample X7,29
C,7,A,Sample X7,31
D,7,A,Sample X7,37
E,7,B,Sample X7,250
F,7,B,Sample X7,269
G,7,B,Sample X7,370
H,7,A,Blank B,5
A,8,A,Blank B,4
B,8,A,Sample X8,48
C,8,A,Sample X8,23
D,8,A,Sample X8,27
E,8,B,Sample X8,80
F,8,B,Sample X8,46
G,8,B,Sample X8,105
H,8,A,Blank B,6
A,9,A,Blank B,6
B,9,A,Sample X9,527
C,9,A,Sample X9,496
D,9,A,Sample X9,394
E,9,B,Sample X9,1496
F,9,B,Sample X9,1967
G,9,B,Sample X9,3088
H,9,A,Blank B,3
A,10,A,Blank B,7
B,10,A,Sample X10,119
C,10,A,Sample X10,76
D,10,A,Sample X10,69
E,10,B,Sample X10,2945
F,10,B,Sample X10,3089
G,10,B,Sample X10,5521
H,10,A,Blank B,2
A,11,A,Blank B,7
B,11,B,Standard S1,1683
C,11,B,Standard S1,1059
D,11,B,Standard S1,1248
E,11,B,Standard S3,2845
F,11,B,Standard S3,4046
G,11,B,Standard S3,3814
H,11,A,Blank B,6
A,12,A,Blank B,6
B,12,B,Standard S2,4253
C,12,B,Standard S2,4631
D,12,B,Standard S2,4749
E,12,B,Standard S4,6474
F,12,B,Standard S4,6007
G,12,B,Standard S4,5746
H,12,A,Blank B,6
