User: USER,,,,
Path: C:\Program Files (x86)\BMG\Omega\User\Data\,,,,
Test ID: 157,,,,
Test Name: CDI,,,,
Date: 08/04/2021,,,,
Time: 16:42:06,,,,
Time resolved fluorescence (TRF),,,,
,,,,
,,,,
"Well
Row","Well
Col",Group,Content, Raw Data (TREX/615-10)
A,1,A,Blank B,4
B,1,A,Sample X1,3232
C,1,A,Sample X1,3098
D,1,A,Sample X1,2905
E,1,B,Sample X1,2811
F,1,B,Sample X1,2188
G,1,B,Sample X1,2676
H,1,A,Blank B,5
A,2,A,Blank B,6
B,2,A,Sample X2,11
C,2,A,Sample X2,15
D,2,A,Sample X2,16
E,2,B,Sample X2,82
F,2,B,Sample X2,131
G,2,B,Sample X2,107
H,2,A,Blank B,4
A,3,A,Blank B,6
B,3,A,Sample X3,15
C,3,A,Sample X3,10
D,3,A,Sample X3,8
E,3,B,Sample X3,55
F,3,B,Sample X3,64
G,3,B,Sample X3,73
H,3,A,Blank B,3
A,4,A,Blank B,5
B,4,A,Sample X4,11
C,4,A,Sample X4,12
D,4,A,Sample X4,7
E,4,B,Sample X4,36
F,4,B,Sample X4,49
G,4,B,Sample X4,62
H,4,A,Blank B,7
A,5,A,Blank B,2
B,5,A,Sample X5,11
C,5,A,Sample X5,15
D,5,A,Sample X5,9
E,5,B,Sample X5,27
F,5,B,Sample X5,58
G,5,B,Sample X5,38
H,5,A,Blank B,4
A,6,A,Blank B,8
B,6,A,Sample X6,11
C,6,A,Sample X6,8
D,6,A,Sample X6,12
E,6,B,Sample X6,23
F,6,B,Sample X6,18
G,6,B,Sample X6,13
H,6,A,Blank B,4
A,7,A,Blank B,4
B,7,A,Sample X7,2466
C,7,A,Sample X7,2022
D,7,A,Sample X7,1751
E,7,B,Sample X7,1492
F,7,B,Sample X7,1794
G,7,B,Sample X7,1979
H,7,A,Blank B,8
A,8,A,Blank B,8
B,8,A,Sample X8,14
C,8,A,Sample X8,13
D,8,A,Sample X8,13
E,8,B,Sample X8,33
F,8,B,Sample X8,38
G,8,B,Sample X8,44
H,8,A,Blank B,4
A,9,A,Blank B,4
B,9,A,Sample X9,22
C,9,A,Sample X9,28
D,9,A,Sample X9,16
E,9,B,Sample X9,23
F,9,B,Sample X9,29
G,9,B,Sample X9,26
H,9,A,Blank B,2
A,10,A,Blank B,4
B,10,A,Sample X10,18
C,10,A,Sample X10,24
D,10,A,Sample X10,15
E,10,B,Sample X10,25
F,10,B,Sample X10,20
G,10,B,Sample X10,19
H,10,A,Blank B,2
A,11,A,Blank B,6
B,11,B,Standard S1,759
C,11,B,Standard S1,1035
D,11,B,Standard S1,959
E,11,B,Standard S3,1812
F,11,B,Standard S3,1983
G,11,B,Standard S3,2881
H,11,A,Blank B,2
A,12,A,Blank B,7
B,12,B,Standard S2,3365
C,12,B,Standard S2,3474
D,12,B,Standard S2,3592
E,12,B,Standard S4,4130
F,12,B,Standard S4,3479
G,12,B,Standard S4,4282
H,12,A,Blank B,7
