User: USER,,,,
Path: C:\Program Files (x86)\BMG\Omega\User\Data\,,,,
Test ID: 160,,,,
Test Name: CDI,,,,
Date: 13/04/2021,,,,
Time: 16:53:12,,,,
Time resolved fluorescence (TRF),,,,
,,,,
,,,,
"Well
Row","Well
Col",Group,Content, Raw Data (TREX/615-10)
A,1,A,Blank B,2
B,1,A,Sample X1,4751
C,1,A,Sample X1,4946
D,1,A,Sample X1,5002
E,1,B,Sample X1,3418
F,1,B,Sample X1,4428
G,1,B,Sample X1,5113
H,1,A,Blank B,1
A,2,A,Blank B,1
B,2,A,Sample X2,109
C,2,A,Sample X2,90
D,2,A,Sample X2,79
E,2,B,Sample X2,1477
F,2,B,Sample X2,1734
G,2,B,Sample X2,2489
H,2,A,Blank B,5
A,3,A,Blank B,1
B,3,A,Sample X3,109
C,3,A,Sample X3,73
D,3,A,Sample X3,92
E,3,B,Sample X3,1039
F,3,B,Sample X3,1141
G,3,B,Sample X3,1811
H,3,A,Blank B,1
A,4,A,Blank B,0
B,4,A,Sample X4,114
C,4,A,Sample X4,70
D,4,A,Sample X4,48
E,4,B,Sample X4,930
F,4,B,Sample X4,1107
G,4,B,Sample X4,808
H,4,A,Blank B,2
A,5,A,Blank B,1
B,5,A,Sample X5,102
C,5,A,Sample X5,67
D,5,A,Sample X5,40
E,5,B,Sample X5,281
F,5,B,Sample X5,279
G,5,B,Sample X5,289
H,5,A,Blank B,1
A,6,A,Blank B,1
B,6,A,Sample X6,38
C,6,A,Sample X6,55
D,6,A,Sample X6,18
E,6,B,Sample X6,124
F,6,B,Sample X6,82
G,6,B,Sample X6,117
H,6,A,Blank B,2
A,7,A,Blank B,3
B,7,A,Sample X7,3669
C,7,A,Sample X7,2746
D,7,A,Sample X7,3494
E,7,B,Sample X7,5806
F,7,B,Sample X7,5609
G,7,B,Sample X7,6081
H,7,A,Blank B,2
A,8,A,Blank B,2
B,8,A,Sample X8,12934
C,8,A,Sample X8,10136
D,8,A,Sample X8,11335
E,8,B,Sample X8,15013
F,8,B,Sample X8,11875
G,8,B,Sample X8,14726
H,8,A,Blank B,2
A,9,A,Blank B,0
B,9,A,Sample X9,1
C,9,A,Sample X9,1
D,9,A,Sample X9,4
E,9,B,Sample X9,4
F,9,B,Sample X9,2
G,9,B,Sample X9,1
H,9,A,Blank B,0
A,10,A,Blank B,3
B,10,A,Sample X10,1
C,10,A,Sample X10,1
D,10,A,Sample X10,1
E,10,B,Sample X10,2
F,10,B,Sample X10,1
G,10,B,Sample X10,1
H,10,A,Blank B,1
A,11,A,Blank B,1
B,11,B,Standard S1,6
C,11,B,Standard S1,4
D,11,B,Standard S1,2
E,11,B,Standard S3,3
F,11,B,Standard S3,1
G,11,B,Standard S3,2
H,11,A,Blank B,1
A,12,A,Blank B,2
B,12,B,Standard S2,1
C,12,B,Standard S2,2
D,12,B,Standard S2,2
E,12,B,Standard S4,1
F,12,B,Standard S4,1
G,12,B,Standard S4,4
H,12,A,Blank B,3
