User: USER,,,,
Path: C:\Program Files (x86)\BMG\Omega\User\Data\,,,,
Test ID: 154,,,,
Test Name: CDI,,,,
Date: 01/04/2021,,,,
Time: 16:53:05,,,,
Time resolved fluorescence (TRF),,,,
,,,,
,,,,
"Well
Row","Well
Col",Group,Content, Raw Data (TREX/615-10)
A,1,A,Blank B,1
B,1,A,Sample X1,917
C,1,A,Sample X1,832
D,1,A,Sample X1,604
E,1,B,Sample X1,3186
F,1,B,Sample X1,2580
G,1,B,Sample X1,2816
H,1,A,Blank B,1
A,2,A,Blank B,1
B,2,A,Sample X2,66
C,2,A,Sample X2,76
D,2,A,Sample X2,77
E,2,B,Sample X2,6301
F,2,B,Sample X2,6657
G,2,B,Sample X2,6853
H,2,A,Blank B,3
A,3,A,Blank B,1
B,3,A,Sample X3,65
C,3,A,Sample X3,55
D,3,A,Sample X3,47
E,3,B,Sample X3,7764
F,3,B,Sample X3,6711
G,3,B,Sample X3,8308
H,3,A,Blank B,1
A,4,A,Blank B,2
B,4,A,Sample X4,50
C,4,A,Sample X4,36
D,4,A,Sample X4,32
E,4,B,Sample X4,4817
F,4,B,Sample X4,2935
G,4,B,Sample X4,5205
H,4,A,Blank B,3
A,5,A,Blank B,3
B,5,A,Sample X5,30
C,5,A,Sample X5,31
D,5,A,Sample X5,24
E,5,B,Sample X5,2763
F,5,B,Sample X5,4049
G,5,B,Sample X5,4812
H,5,A,Blank B,2
A,6,A,Blank B,1
B,6,A,Sample X6,47
C,6,A,Sample X6,22
D,6,A,Sample X6,28
E,6,B,Sample X6,828
F,6,B,Sample X6,753
G,6,B,Sample X6,1076
H,6,A,Blank B,4
A,7,A,Blank B,3
B,7,A,Sample X7,2492
C,7,A,Sample X7,2524
D,7,A,Sample X7,1800
E,7,B,Sample X7,3931
F,7,B,Sample X7,3585
G,7,B,Sample X7,3718
H,7,A,Blank B,2
A,8,A,Blank B,2
B,8,A,Sample X8,82
C,8,A,Sample X8,90
D,8,A,Sample X8,55
E,8,B,Sample X8,3810
F,8,B,Sample X8,4394
G,8,B,Sample X8,6162
H,8,A,Blank B,2
A,9,A,Blank B,1
B,9,A,Sample X9,45
C,9,A,Sample X9,30
D,9,A,Sample X9,30
E,9,B,Sample X9,4890
F,9,B,Sample X9,2869
G,9,B,Sample X9,5129
H,9,A,Blank B,2
A,10,A,Blank B,2
B,10,A,Sample X10,30
C,10,A,Sample X10,30
D,10,A,Sample X10,33
E,10,B,Sample X10,3133
F,10,B,Sample X10,4000
G,10,B,Sample X10,5075
H,10,A,Blank B,4
A,11,A,Blank B,3
B,11,B,Standard S1,3053
C,11,B,Standard S1,3207
D,11,B,Standard S1,1984
E,11,B,Standard S3,8010
F,11,B,Standard S3,6402
G,11,B,Standard S3,6692
H,11,A,Blank B,5
A,12,A,Blank B,0
B,12,B,Standard S2,8203
C,12,B,Standard S2,7406
D,12,B,Standard S2,10345
E,12,B,Standard S4,9595
F,12,B,Standard S4,9308
G,12,B,Standard S4,10943
H,12,A,Blank B,1
